group_50,
hashmap, 
30.013796, 22.345845, 16.361370, 13.511682, 13.283273, 13.451674, 

group_50_no_replay,
hashmap, 
21.870464, 18.026222, 14.328365, 12.940361, 12.820916, 12.906573, 

baseline,
hashmap, 
118.982033, 54.686361, 21.275749, 14.852835, 13.179080, 13.510077, 

baseline_no_replay,
hashmap, 
64.878758, 32.238439, 20.576781, 13.133070, 13.297120, 13.096776, 

baseline_no_persist,
hashmap, 
17.513099, 15.318812, 12.784354, 12.327408, 12.663140, 12.760893, 

tinystm,
hashmap, 
17.546016, 15.763339, 12.997524, 12.496514, 12.597038, 12.445684, 

group_20,
hashmap, 
29.876725, 21.172603, 16.150967, 13.445418, 13.213704, 13.178564, 


group_20_depTrace,
hashmap, 
9.423591, 7.151286, 5.031936, 4.079721, 4.070456, 4.006729, 
btree, 
8.854752, 5.666849, 3.452990, 2.084439, 1.678162, 1.551665, 
rbtree_, 
11.960517, 8.758476, 6.398616, 5.143371, 5.054599, 4.946437, 
simple_array, 
24.958859, 17.520703, 14.237141, 12.885045, 12.769729, 12.743883, 


group_20,
hashmap, 
9.557042, 6.633669, 4.624787, 3.635195, 3.601382, 3.616547, 
btree, 
8.884024, 5.342091, 3.167912, 1.909585, 1.584838, 1.490396, 
rbtree_, 
11.947064, 8.107150, 5.837906, 4.751624, 4.666832, 4.693724, 
simple_array, 
25.015985, 17.657681, 13.810371, 12.721787, 12.783713, 12.656940, 

baseline,
hashmap, 
14.060503, 8.662296, 5.584033, 3.927059, 3.729615, 3.738309, 
btree, 
12.653947, 7.250476, 4.176668, 1.887729, 
rbtree_, 
16.786867, 10.356535, 6.817204, 5.055471, 4.936544, 4.664859, 
simple_array, 
78.285128, 43.108953, 22.978127, 13.999641, 13.182114, 13.259402, 


baseline,
hashmap, 
53.866291, 30.104829, 16.395156, 9.214174, 6.665068, 6.685874, 
btree, 
22.424680, 12.132675, 6.691152, 3.930027, 
rbtree_, 
31.896775, 19.264567, 11.606971, 8.178747, 7.341148, 7.145020, 
simple_array, 
79.846418, 43.645881, 23.140860, 14.296622, 13.530815, 13.177440, 

hashmap, 
49.308816, 28.001318, 15.270498, 8.692766, 6.654575, 5.888950, 
btree, 
17.172083, 9.502371, 3.015842, 2.381152, 
rbtree_, 
26.593457, 16.933487, 10.729479, 7.818292, 7.363255, 7.164098, 
simple_array, 
25.729049, 18.685462, 13.554316, 12.876913, 12.822375, 12.642570, 


dep_trace,
hashmap, 
49.148497, 29.965195, 16.005455, 9.186996, 7.289276, 6.465039, 
btree, 
16.820963, 9.954866, 5.713152, 3.260563, 2.564909, 2.379000,
rbtree_, 
27.018358, 18.176150, 11.173799, 8.294075, 7.603535, 7.473431, 
simple_array, 
25.720946, 18.387442, 14.479610, 12.940317, 12.694494, 12.882455, 

group_20,
hashmap, 
48.611153, 27.799879, 15.025202, 8.667849, 6.572904, 5.767040, 
btree, 
16.789333, 9.248614, 5.088755, 2.988712, 2.409290, 2.380996, 
rbtree_, 
26.491988, 17.018626, 10.470933, 7.712252, 7.208013, 7.063500, 
simple_array, 
25.696547, 18.361620, 14.305011, 12.677558, 13.115656, 12.742898, 


group_20,
hashmap, 
47.805402, 27.106883, 14.785566, 8.543877, 6.560708, 5.790192, 
btree, 
16.196318, 8.902964, 4.768188, 2.452558, 1.749525, 1.388682, 
rbtree_, 
24.820280, 16.054049, 9.902339, 7.432601, 7.109795, 7.034195, 
simple_array, 
23.589807, 15.661176, 13.651167, 13.198738, 12.941296, 12.837266, 

dep_trace,
hashmap, 
47.669685, 28.869923, 12.765564, 9.170983, 7.192537, 6.406365, 
btree, 
16.601676, 9.672801, 5.360912, 2.814978, 2.078058, 1.653765, 
rbtree_, 
25.047615, 17.392896, 10.585202, 7.868523, 7.629163, 7.233672, 
simple_array, 
24.310950, 17.126451, 13.570193, 12.771217, 13.100181, 13.084619, 


simple_array group size,
256, 
2.084367, 1.616108, 1.354766, 1.303131, 1.293685, 1.299314, 
128, 
2.115831, 1.573584, 1.375695, 1.297968, 1.300894, 1.288508, 
64, 
2.222017, 1.658601, 1.356212, 1.303592, 1.291174, 1.288939, 
32, 
2.394569, 1.723847, 1.359990, 1.295486, 1.314846, 1.289946, 
16, 
2.622808, 1.796637, 1.396032, 1.309863, 1.305321, 1.294084, 
8, 
2.924141, 1.945935, 1.435078, 1.292249, 1.304251, 1.296594, 
4, 
3.438746, 2.104902, 1.496471, 1.325379, 1.300335, 1.297617, 
2, 
4.489691, 2.674508, 1.645008, 1.334495, 1.307069, 1.305462, 
1, 
7.959688, 4.292914, 2.310593, 1.448322, 1.345217, 1.311380, 


2023-03-03 group 1 *10,
hashmap, 
52.455406, 29.529038, 16.078341, 9.103674, 6.861692, 6.211592, 
btree, 
20.857496, 11.559482, 6.488113, 3.850478, 3.086134, 2.910707, 
rbtree_, 
30.723645, 18.876119, 11.607019, 8.028407, 7.352161, 7.122022, 

2023-03-03 group 32 *10,
hashmap, 
48.461147, 27.342564, 
