genome, 
7.031748, 3.318802, 2.252803, 1.367077, 
intruder, 
30.851015, 20.845786, 15.772313, 15.981048, 
labyrinth, 
50.656768, 26.301598, 14.438070, 8.152591, 
ssca2, 
23.131910, 18.852510, 18.833530, 20.846255, 
vacation, 
27.609956, 16.443903, 8.036736, 4.257397, 
vacation, 
34.264323, 19.100750, 9.320356, 5.158924, 
yada, 
9.176, 5.678, 4.639, 4.647, 

genome, 
7.108773, 3.389923, 1.674649, 0.980161, 
intruder, 
38.811065, 19.751063, 12.741028, 9.210945, 
labyrinth, 
50.819080, 26.500429, 14.160086, 8.221802, 
ssca2, 
43.623707, 22.929629, 14.089879, 10.451532, 
vacation, 
22.258470, 12.107028, 6.151158, 3.191388, 
vacation, 
29.102685, 15.841152, 8.123122, 4.256119, 
yada, 
9.899, 6.155, 3.670, 2.241, 

genome, 
6.799568, 3.159079, 2.109550, 1.611278, 
intruder, 
44.571365, 29.990761, 17.348834, 21.281671, 
labyrinth, 
50.883502, 26.518189, 14.139190, 8.262884, 
ssca2, 
23.835761, 22.171742, 18.969804, 20.719926, 
vacation, 
27.182817, 16.499561, 8.505775, 3.570248, 
vacation, 
34.700337, 19.394835, 9.568383, 4.394478, 
yada, 
9.025, 5.613, 3.927, 3.893, 

genome, 
6.677536, 3.909241, 2.079026, 1.664843, 
intruder, 
32.269919, 36.552841, 26.970950, 22.228439, 
labyrinth, 
50.878467, 26.497693, 14.159653, 8.373746, 
ssca2, 
26.889425, 44.968494, 20.577953, 20.603483, 
vacation, 
28.453996, 17.332916, 9.540573, 5.212881, 
vacation, 
34.963254, 20.186141, 11.687617, 6.462710, 
yada, 
9.113, 6.732, 3.933, 3.528, 
genome, 
6.604330, 3.360837, 2.456823, 1.828405, 
intruder, 
34.044825, 31.673876, 18.420109, 26.748609, 
labyrinth, 
50.835460, 26.464310, 14.112877, 7.746162, 
ssca2, 
26.602224, 25.327864, 20.605986, 22.355297, 
vacation, 
30.539506, 18.597317, 10.669979, 5.293484, 
vacation, 
37.500488, 22.493351, 12.366098, 6.806078, 
yada, 
11.455, 8.054, 6.421, 6.287, 

genome, 
7.243887, 3.959160, 2.685825, 1.428283, 
intruder, 
29.523560, 22.179036, 16.279992, 8.636717, 
labyrinth, 
50.763853, 26.283320, 14.058191, 8.111695, 
ssca2, 
22.873124, 28.182961, 16.474575, 20.497592, 
vacation, 
27.157265, 13.565253, 8.054006, 4.233063, 
vacation, 
33.236205, 16.000816, 7.698040, 5.079863, 
yada, 
9.151, 5.524, 4.629, 4.618, 


genome, 
6.414167, 3.006220, 1.541683, 0.883392, 
intruder, 
20.200771, 12.261628, 6.652516, 5.004813, 
labyrinth, 
51.271679, 26.635897, 14.245622, 8.235234, 
ssca2, 
17.055284, 12.498218, 9.882866, 9.417853, 
vacation, 
19.123028, 10.416535, 5.287097, 2.699426, 
vacation, 
